X,Y,Z
0.69,3.54,2.55
-1.43,-3.53,2.6
1.69,-3.52,2.63
-1.64,3.53,2.51
-2.32,1.42,0.13
1.97,-1.87,0.11
2.26,1.34,0.07
-1.9,-1.75,0.07
