Time,Filt_X,Filt_Y,Filt_Z
1779986222.414,-2.0459,0.0387,1.9655
1779986222.514,-2.1131,-0.1522,1.9338
1779986222.614,-2.0514,-0.2779,1.9604
1779986222.714,-1.9853,-0.3801,1.9997
1779986222.813,-1.9034,-0.4777,1.9902
1779986222.913,-1.7945,-0.6001,2.0582
1779986223.013,-1.6641,-0.7205,2.0605
1779986223.114,-1.5385,-0.8238,2.0592
1779986223.214,-1.4818,-0.9732,2.0038
1779986223.313,-1.3497,-1.0917,1.9721
1779986223.413,-1.2001,-1.1860,1.9991
1779986223.514,-1.0640,-1.2751,2.0654
1779986223.613,-0.9319,-1.3303,2.1009
1779986223.720,-0.8093,-1.3783,2.1145
1779986223.814,-0.6808,-1.4341,2.1182
1779986223.913,-0.5508,-1.4839,2.1711
1779986224.014,-0.3790,-1.5328,2.1991
1779986224.114,-0.2145,-1.5819,2.2153
1779986224.213,-0.0609,-1.6229,2.2064
1779986224.314,0.0900,-1.6539,2.1869
1779986224.414,0.2484,-1.6997,2.1239
1779986224.513,0.4419,-1.7324,2.0630
1779986224.614,0.5182,-1.7123,2.1114
1779986224.713,0.6509,-1.6889,2.1417
1779986224.814,0.7478,-1.6576,2.1354
1779986224.914,0.8867,-1.6336,2.1522
1779986225.013,1.0441,-1.6120,2.1127
1779986225.113,1.2136,-1.5828,2.1018
1779986225.213,1.3020,-1.5023,2.1111
1779986225.313,1.3968,-1.4188,2.1359
1779986225.414,1.4941,-1.3358,2.1536
1779986225.514,1.5925,-1.2454,2.1141
1779986225.613,1.6832,-1.1455,2.1029
1779986225.713,1.7974,-1.0357,2.0587
1779986225.814,1.8506,-0.9242,2.0802
1779986225.913,1.9565,-0.8211,2.0513
1779986226.019,2.0002,-0.6953,2.0927
1779986226.113,2.0380,-0.5479,2.0852
1779986226.213,2.0422,-0.4045,2.0484
1779986226.314,2.0728,-0.2627,2.0525
1779986226.414,2.1438,-0.1217,2.0753
1779986226.513,2.0825,0.0522,2.0724
1779986226.613,2.0661,0.2417,2.0311
1779986226.713,2.0533,0.4172,1.9799
1779986226.813,1.9754,0.5806,2.0055
