Time,Filt_X,Filt_Y,Filt_Z
1776190302.717,0.9026,0.2199,0.6618
1776190302.742,0.9073,0.2189,0.6529
1776190302.972,0.8923,0.2228,0.6386
1776190302.989,0.8742,0.2296,0.6211
1776190303.042,0.8677,0.2339,0.6105
1776190303.231,0.8638,0.2364,0.6043
1776190303.248,0.8659,0.2380,0.5918
1776190303.466,0.8584,0.2389,0.5888
1776190303.484,0.8539,0.2439,0.5872
1776190303.541,0.8423,0.2425,0.5864
1776190303.699,0.8443,0.2372,0.5906
1776190303.745,0.8545,0.2339,0.6065
1776190303.945,0.8519,0.2364,0.6118
1776190303.963,0.8637,0.2380,0.6195
1776190304.172,0.8753,0.2344,0.6331
1776190304.188,0.8912,0.2323,0.6368
1776190304.242,0.9007,0.2311,0.6390
1776190304.393,0.9019,0.2303,0.6358
1776190304.442,0.8981,0.2343,0.6338
1776190304.633,0.8868,0.2368,0.6281
1776190304.648,0.8665,0.2382,0.6202
1776190304.838,0.8410,0.2436,0.6021
1776190304.859,0.8256,0.2512,0.5868
1776190305.064,0.8120,0.2558,0.5732
1776190305.079,0.7907,0.2585,0.5696
1776190305.143,0.7781,0.2645,0.5676
1776190305.282,0.7885,0.2636,0.5710
1776190305.342,0.8173,0.2630,0.5777
1776190305.526,0.8483,0.2581,0.5863
1776190305.542,0.8848,0.2595,0.5916
1776190305.750,0.9068,0.2514,0.5993
1776190305.764,0.9287,0.2509,0.6084
1776190305.841,0.9284,0.2417,0.6184
1776190305.977,0.9501,0.2362,0.6332
1776190306.043,0.9496,0.2373,0.6421
1776190306.204,0.9312,0.2381,0.6340
1776190306.242,0.9198,0.2385,0.6290
1776190306.437,0.8950,0.2389,0.6214
1776190306.454,0.8710,0.2391,0.6212
1776190306.665,0.8610,0.2392,0.6166
1776190306.682,0.8505,0.2438,0.6094
1776190306.740,0.8399,0.2510,0.6050
1776190306.901,0.8292,0.2553,0.6024
1776190306.940,0.8362,0.2535,0.6009
1776190307.137,0.8450,0.2479,0.6044
1776190307.163,0.8505,0.2400,0.6110
1776190307.353,0.8539,0.2353,0.6106
1776190307.375,0.8560,0.2325,0.6103
1776190307.446,0.8662,0.2264,0.6191
1776190307.593,0.8813,0.2227,0.6332
1776190307.640,0.8904,0.2250,0.6372
1776190307.801,0.9047,0.2310,0.6396
1776190307.842,0.9087,0.2346,0.6454
1776190308.014,0.9199,0.2324,0.6487
1776190308.041,0.9265,0.2355,0.6507
1776190308.229,0.9170,0.2374,0.6517
1776190308.254,0.9066,0.2385,0.6389
