timestamp,input_source,raw_x,raw_y,raw_z,filtered_x,filtered_y,filtered_z,vx,vy,vz,quality,valid,accepted,rejection_reason,accepted_count,outlier_count,invalid_count,mahalanobis_distance,implied_speed
1780529223.961027,python_udp,0.280000,0.190000,0.650000,0.280477,0.188568,0.654658,0.008305,-0.001687,0.034869,41.000000,1,1,accepted,35,0,0,0.000102,0.092863
1780529224.060984,python_udp,0.280000,0.190000,0.640000,0.280603,0.189262,0.649725,0.006529,0.000487,0.015893,43.000000,1,1,accepted,36,0,0,0.000368,0.182618
1780529224.161400,python_udp,0.270000,0.200000,0.640000,0.275188,0.195073,0.646064,-0.008754,0.015001,0.004060,44.000000,1,1,accepted,37,0,0,0.000584,0.192081
1780529224.261462,python_udp,0.280000,0.190000,0.620000,0.277378,0.193030,0.634187,-0.001032,0.006076,-0.023624,39.000000,1,1,accepted,38,0,0,0.000906,0.278604
1780529224.372148,python_udp,0.280000,0.200000,0.620000,0.278744,0.197067,0.626338,0.002668,0.014715,-0.035990,44.000000,1,1,accepted,39,0,0,0.000241,0.137013
1780529224.468079,python_udp,0.300000,0.200000,0.600000,0.290325,0.199326,0.612187,0.031168,0.016700,-0.059772,40.000000,1,1,accepted,40,0,0,0.001382,0.309794
1780529224.574292,python_udp,0.290000,0.180000,0.570000,0.291587,0.189678,0.589407,0.026495,-0.011811,-0.097642,36.000000,1,1,accepted,41,0,0,0.002269,0.419982
1780529224.669361,python_udp,0.290000,0.180000,0.580000,0.291953,0.183917,0.579809,0.020743,-0.023349,-0.097268,41.000000,1,1,accepted,42,0,0,0.000166,0.095013
1780529224.760948,python_udp,0.290000,0.180000,0.600000,0.291856,0.180729,0.583965,0.015275,-0.025497,-0.065978,43.000000,1,1,accepted,43,0,0,0.001014,0.302294
1780529224.885315,python_udp,0.300000,0.180000,0.600000,0.296950,0.179161,0.587870,0.024259,-0.023025,-0.042308,42.000000,1,1,accepted,44,0,0,0.000647,0.236503
1780529224.961164,python_udp,0.300000,0.180000,0.600000,0.299712,0.178552,0.591231,0.025106,-0.018759,-0.025196,42.000000,1,1,accepted,45,0,0,0.000312,0.166718
1780529225.060987,python_udp,0.290000,0.190000,0.610000,0.295634,0.183858,0.598590,0.008509,-0.000667,-0.002932,43.000000,1,1,accepted,46,0,0,0.001099,0.279310
1780529225.160081,python_udp,0.260000,0.160000,0.590000,0.276818,0.170967,0.594447,-0.041033,-0.032973,-0.011609,37.000000,1,1,accepted,47,0,0,0.003573,0.443401
1780529225.260211,python_udp,0.270000,0.160000,0.590000,0.271251,0.163535,0.591761,-0.044719,-0.043387,-0.015046,41.000000,1,1,accepted,48,0,0,0.000134,0.087743
1780529225.360242,python_udp,0.270000,0.140000,0.630000,0.268515,0.148849,0.608699,-0.040346,-0.069453,0.026520,43.000000,1,1,accepted,49,0,0,0.002426,0.442541
1780529225.460852,python_udp,0.280000,0.150000,0.620000,0.272846,0.146268,0.615364,-0.019273,-0.058459,0.035566,40.000000,1,1,accepted,50,0,0,0.000647,0.195245
1780529225.560067,python_udp,0.300000,0.170000,0.590000,0.286595,0.156366,0.605501,0.020215,-0.018296,0.005319,41.000000,1,1,accepted,51,0,0,0.004087,0.505667
1780529225.661139,python_udp,0.280000,0.180000,0.600000,0.283972,0.168262,0.603233,0.008515,0.016280,-0.000990,43.000000,1,1,accepted,52,0,0,0.001372,0.275506
1780529225.760478,python_udp,0.290000,0.170000,0.590000,0.287614,0.169949,0.597039,0.015544,0.016429,-0.014727,39.000000,1,1,accepted,53,0,0,0.000238,0.141179
1780529225.861405,python_udp,0.270000,0.170000,0.580000,0.278836,0.170734,0.588343,-0.010484,0.014267,-0.031007,38.000000,1,1,accepted,54,0,0,0.000947,0.247443
1780529225.960845,python_udp,0.270000,0.180000,0.600000,0.273590,0.176386,0.592091,-0.021058,0.024912,-0.015573,45.000000,1,1,accepted,55,0,0,0.000463,0.184358
1780529226.060355,python_udp,0.270000,0.190000,0.610000,0.270684,0.184873,0.599566,-0.023073,0.040014,0.004786,43.000000,1,1,accepted,56,0,0,0.000647,0.224692
1780529226.162789,python_udp,0.260000,0.190000,0.610000,0.263861,0.189481,0.604665,-0.034447,0.041543,0.015198,42.000000,1,1,accepted,57,0,0,0.000240,0.130589
1780529226.260937,python_udp,0.260000,0.180000,0.600000,0.260192,0.186285,0.603315,-0.035013,0.023027,0.008730,40.000000,1,1,accepted,58,0,0,0.000385,0.149782
1780529226.360822,python_udp,0.260000,0.170000,0.590000,0.258475,0.178568,0.597604,-0.030519,-0.002213,-0.006108,38.000000,1,1,accepted,59,0,0,0.000877,0.236168
1780529226.460868,python_udp,0.260000,0.180000,0.580000,0.257890,0.179238,0.589108,-0.024304,0.000032,-0.023881,41.000000,1,1,accepted,60,0,0,0.000360,0.176763
1780529226.560614,python_udp,0.270000,0.180000,0.560000,0.263298,0.179650,0.574321,-0.004560,0.001062,-0.051825,40.000000,1,1,accepted,61,0,0,0.001172,0.304292
1780529226.660609,python_udp,0.280000,0.190000,0.580000,0.272091,0.185278,0.574178,0.018739,0.014972,-0.040466,43.000000,1,1,accepted,62,0,0,0.000865,0.227447
1780529226.816319,python_udp,0.290000,0.180000,0.580000,0.282608,0.183123,0.574711,0.040513,0.005772,-0.030145,40.000000,1,1,accepted,63,0,0,0.000665,0.200104
1780529228.346298,python_udp,0.280000,0.200000,0.630000,0.283070,0.192487,0.598751,0.031470,0.027904,0.030832,49.000000,1,1,accepted,64,0,0,0.004290,0.609042
1780529228.413888,python_udp,0.290000,0.200000,0.620000,0.288256,0.197823,0.610264,0.036607,0.034318,0.049830,42.000000,1,1,accepted,65,0,0,0.000428,0.191468
1780529228.433428,python_udp,0.280000,0.210000,0.640000,0.285493,0.205969,0.626733,0.020425,0.046193,0.075718,46.000000,1,1,accepted,66,0,0,0.001073,0.288306
1780529228.573858,python_udp,0.300000,0.210000,0.650000,0.294255,0.210271,0.641588,0.037350,0.045394,0.092132,44.000000,1,1,accepted,67,0,0,0.000557,0.200509
1780529228.593047,python_udp,0.310000,0.210000,0.670000,0.304464,0.212217,0.659710,0.053659,0.038862,0.112211,46.000000,1,1,accepted,68,0,0,0.000712,0.231513
1780529228.606734,python_udp,0.310000,0.220000,0.680000,0.309921,0.218204,0.675140,0.053890,0.044153,0.121696,47.000000,1,1,accepted,69,0,0,0.000118,0.098717
1780529228.614368,python_udp,0.310000,0.210000,0.640000,0.312448,0.215817,0.665356,0.046679,0.027018,0.072218,38.000000,1,1,accepted,70,0,0,0.002794,0.492504
1780529228.622031,python_udp,0.310000,0.200000,0.640000,0.313280,0.208536,0.657461,0.037017,0.001872,0.038146,42.000000,1,1,accepted,71,0,0,0.001887,0.381430
1780529228.632872,python_udp,0.300000,0.200000,0.650000,0.307828,0.204021,0.656043,0.013958,-0.009974,0.026354,45.000000,1,1,accepted,72,0,0,0.000811,0.221722
1780529228.645078,python_udp,0.290000,0.210000,0.660000,0.298861,0.206784,0.659292,-0.012145,-0.000501,0.027736,44.000000,1,1,accepted,73,0,0,0.000773,0.204930
1780529228.655959,python_udp,0.290000,0.200000,0.650000,0.293525,0.203104,0.656467,-0.022529,-0.009645,0.015118,42.000000,1,1,accepted,74,0,0,0.000351,0.157922
1780529228.678581,python_udp,0.290000,0.190000,0.620000,0.290586,0.195596,0.640355,-0.024256,-0.026129,-0.024602,38.000000,1,1,accepted,75,0,0,0.001852,0.398916
1780529228.778466,python_udp,0.290000,0.200000,0.650000,0.289152,0.196765,0.643512,-0.021758,-0.016601,-0.011942,46.000000,1,1,accepted,76,0,0,0.000257,0.141123
1780529228.788316,python_udp,0.290000,0.190000,0.600000,0.288606,0.192353,0.622681,-0.017652,-0.023533,-0.056200,37.000000,1,1,accepted,77,0,0,0.002024,0.427318
1780529228.802157,python_udp,0.290000,0.180000,0.590000,0.288544,0.184610,0.604504,-0.013363,-0.037112,-0.084502,40.000000,1,1,accepted,78,0,0,0.001004,0.290219
1780529228.813145,python_udp,0.300000,0.190000,0.610000,0.294103,0.185805,0.602525,0.004008,-0.024753,-0.069916,44.000000,1,1,accepted,79,0,0,0.000667,0.209998
1780529228.822791,python_udp,0.300000,0.200000,0.580000,0.297467,0.192316,0.588325,0.011470,-0.002116,-0.086162,41.000000,1,1,accepted,80,0,0,0.000832,0.234395
1780529228.833588,python_udp,0.300000,0.210000,0.600000,0.299361,0.201751,0.589125,0.013353,0.022184,-0.064940,45.000000,1,1,accepted,81,0,0,0.001044,0.270907
