X,Y,Z
0.26,-1.3,0.52
-2.11,-1.29,1.27
-2.17,1.56,1.24
0.22,1.61,1.24
2.64,1.6,1.26
2.64,-1.23,1.26
2.71,-0.2,0.5
-2.15,0.14,0.5
