X,Y,Z
8.03,0.1,2.38
7.36,6.53,2.22
0.0,0.0,2.48
0.54,6.99,2.56
1.69,-3.52,2.63
-1.64,3.53,2.51
0.69,3.54,2.55
-1.43,-3.53,2.6
