Time,Filt_X,Filt_Y,Filt_Z
1779985315.113,-0.1393,0.0396,0.4955
1779985315.214,-0.1523,0.0398,0.4975
1779985315.313,-0.1558,0.0444,0.4943
1779985315.414,-0.1712,0.0472,0.4923
1779985315.513,-0.1893,0.0488,0.5000
1779985315.613,-0.1869,0.0453,0.5002
1779985315.728,-0.1852,0.0476,0.4915
1779985315.814,-0.1753,0.0490,0.4817
1779985315.913,-0.1869,0.0498,0.4848
1779985316.014,-0.1761,0.0458,0.4866
1779985316.113,-0.1606,0.0434,0.4878
1779985316.216,-0.1557,0.0419,0.4885
1779985316.314,-0.1438,0.0366,0.4890
1779985316.413,-0.1412,0.0334,0.4937
1779985316.528,-0.1530,0.0359,0.4966
1779985316.613,-0.1513,0.0330,0.4939
1779985316.714,-0.1592,0.0357,0.4922
1779985316.814,-0.1640,0.0330,0.4912
1779985316.913,-0.1580,0.0313,0.4951
1779985317.024,-0.1410,0.0259,0.4929
1779985317.114,-0.1442,0.0271,0.4916
1779985317.214,-0.1594,0.0323,0.4909
1779985317.314,-0.1598,0.0355,0.4860
1779985317.414,-0.1645,0.0375,0.4830
1779985317.515,-0.1584,0.0342,0.4813
1779985317.615,-0.1680,0.0322,0.4802
1779985317.713,-0.1694,0.0266,0.4752
1779985317.813,-0.1835,0.0232,0.4722
1779985317.913,-0.1786,0.0257,0.4749
1779985318.013,-0.1667,0.0272,0.4766
1779985318.113,-0.1683,0.0282,0.4732
1779985318.213,-0.1737,0.0288,0.4757
1779985318.314,-0.1770,0.0336,0.4816
1779985318.561,-0.1833,0.0320,0.4897
1779985319.113,-0.1649,0.0311,0.4901
1779985319.229,-0.1626,0.0306,0.4904
1779985319.314,-0.1657,0.0302,0.4860
1779985319.424,-0.1764,0.0256,0.4967
1779985319.513,-0.1652,0.0228,0.5032
1779985319.614,-0.1495,0.0256,0.5026
1779985319.714,-0.1444,0.0273,0.5021
1779985319.814,-0.1282,0.0239,0.4929
1779985319.914,-0.1095,0.0175,0.4918
