X,Y,Z
-1.43,-3.53,2.6
1.69,-3.52,2.63
-1.64,3.53,2.51
0.69,3.54,2.55
-2.18,2.12,0.48
2.77,2.32,0.49
2.62,-1.45,0.51
-2.19,-1.5,0.5
