X,Y,Z
1.69,-3.52,2.63
-1.64,3.53,2.51
3.79,1.63,1.37
-3.7,-1.62,1.46
-3.77,1.59,1.4
3.8,-1.58,1.37
0.69,3.54,2.55
-1.43,-3.53,2.6
