X,Y,Z
-2.17,1.56,1.24
-1.77,1.66,0.5
2.16,1.63,0.73
2.64,1.6,1.26
2.64,-1.23,1.26
2.15,-1.19,0.52
-1.66,-1.32,0.74
-2.11,-1.29,1.27
