X,Y,Z
-1.43,-3.53,2.6
-1.64,3.53,2.51
1.69,-3.52,2.63
0.69,3.54,2.55
0.54,6.99,2.56
7.36,6.53,2.22
8.03,0.1,2.38
0.0,0.0,2.48
