Time,Filt_X,Filt_Y,Filt_Z
1780084666.080,4.5820,3.3401,1.6772
1780084666.178,4.5818,3.3467,1.6820
1780084666.205,4.5841,3.3502,1.6890
1780084666.277,4.5800,3.3577,1.6940
1780084666.280,4.5825,3.3616,1.6947
1780084666.378,4.5781,3.3632,1.6900
1780084666.381,4.5780,3.3636,1.6844
1780084666.477,4.6046,3.3649,1.6507
1780084666.497,4.6174,3.3680,1.6285
1780084666.577,4.6188,3.3743,1.6621
1780084666.580,4.6137,3.3774,1.6838
1780084666.678,4.6026,3.3750,1.6891
1780084666.679,4.5986,3.3733,1.6981
1780084666.777,4.5907,3.3751,1.6955
1780084666.779,4.5914,3.3760,1.6910
1780084666.885,4.5892,3.3764,1.6826
1780084666.914,4.5831,3.3790,1.6769
1780084666.977,4.5770,3.3804,1.6682
1780084666.979,4.5636,3.3784,1.6612
1780084667.078,4.5535,3.3772,1.6565
1780084667.080,4.5487,3.3741,1.6553
1780084667.177,4.5492,3.3748,1.6551
1780084667.199,4.5475,3.3725,1.6648
1780084667.278,4.5475,3.3746,1.7025
1780084667.279,4.5529,3.3759,1.7273
1780084667.377,4.5529,3.3759,1.7299
1780084667.379,4.5480,3.3734,1.7301
1780084667.478,4.5453,3.3719,1.7191
1780084667.480,4.5489,3.3711,1.7066
1780084667.577,4.5512,3.3707,1.6906
1780084667.579,4.5501,3.3706,1.6801
1780084667.676,4.5494,3.3733,1.6667
1780084667.679,4.5515,3.3775,1.6564
1780084667.778,4.5557,3.3800,1.6475
1780084667.780,4.5606,3.3813,1.6447
1780084667.877,4.5632,3.3789,1.6395
1780084667.903,4.5645,3.3748,1.6391
1780084667.977,4.5622,3.3726,1.6384
1780084667.979,4.5506,3.3689,1.6408
1780084668.076,4.5729,3.3325,1.6462
1780084668.079,4.5913,3.3144,1.6478
1780084668.176,4.5952,3.3192,1.6432
1780084668.185,4.5941,3.3259,1.6423
1780084668.277,4.5840,3.3336,1.6469
1780084668.280,4.5776,3.3360,1.6522
1780084668.377,4.5735,3.3375,1.6520
1780084668.379,4.5686,3.3358,1.6517
1780084668.477,4.5608,3.3408,1.6545
1780084668.479,4.5616,3.3438,1.6562
1780084668.576,4.5592,3.3479,1.6541
1780084668.605,4.5582,3.3502,1.6504
1780084668.677,4.5552,3.3514,1.6467
1780084668.680,4.5461,3.3517,1.6406
1780084668.777,4.5409,3.3545,1.6374
1780084668.780,4.5487,3.3560,1.6370
1780084668.877,4.5510,3.3598,1.6434
1780084668.894,4.5599,3.3668,1.6521
1780084668.978,4.5679,3.3704,1.6609
1780084668.980,4.5749,3.3722,1.6686
1780084669.078,4.5784,3.3726,1.6714
1780084669.080,4.5749,3.3700,1.6705
1780084669.177,4.5725,3.3712,1.6713
1780084669.179,4.5658,3.3743,1.6780
1780084669.282,4.5619,3.3735,1.6821
1780084669.312,4.5602,3.3765,1.7242
1780084669.378,4.5562,3.3805,1.7505
1780084669.381,4.5516,3.3827,1.7684
1780084669.477,4.5524,3.3841,1.8102
1780084669.478,4.5605,3.3872,1.8315
1780084669.577,4.5684,3.3887,1.8633
1780084669.593,4.5631,3.3869,1.8815
1780084669.677,4.5591,3.3847,1.8713
1780084669.678,4.5668,3.3859,1.8619
1780084669.777,4.5740,3.3862,1.8298
1780084669.780,4.5729,3.3838,1.8075
1780084669.877,4.5719,3.3795,1.7732
1780084669.879,4.5686,3.3746,1.7491
1780084669.977,4.5613,3.3725,1.7353
1780084670.017,4.5595,3.3741,1.7280
1780084670.078,4.5590,3.3756,1.7516
1780084670.080,4.5564,3.3767,1.7666
1780084670.177,4.5835,3.3422,1.7602
1780084670.179,4.6047,3.3224,1.7584
