Time,Filt_X,Filt_Y,Filt_Z
1776442249.723,0.2947,0.0468,0.5886
1776442249.826,0.3250,0.1258,0.5910
1776442249.972,0.3767,0.2112,0.6009
1776442250.024,0.4282,0.3003,0.5974
1776442250.131,0.4573,0.3827,0.5993
1776442250.223,0.4994,0.4608,0.6000
1776442250.324,0.5362,0.5362,0.6044
1776442250.442,0.5564,0.6055,0.6112
1776442250.526,0.5800,0.6667,0.6193
1776442250.624,0.5879,0.7273,0.6328
1776442250.756,0.5998,0.7787,0.6361
1776442250.826,0.6097,0.8290,0.6421
1776442250.925,0.6541,0.8787,0.6365
1776442251.061,0.7149,0.9236,0.6372
1776442251.125,0.7677,0.9613,0.6329
1776442251.223,0.8113,0.9901,0.6300
1776442251.362,0.8358,1.0138,0.6148
1776442251.424,0.8578,1.0477,0.5787
1776442251.524,0.8959,1.0569,0.5835
1776442251.669,0.9306,1.0734,0.5730
1776442251.723,0.8656,1.0768,0.6023
1776442251.825,0.8513,1.0723,0.6155
1776442251.969,0.8726,1.0544,0.6101
1776442252.024,0.9020,1.0197,0.5889
1776442252.123,0.9276,0.9751,0.5539
1776442252.275,0.9419,0.9159,0.5194
1776442252.324,0.9361,0.8393,0.4811
1776442252.437,0.9271,0.7570,0.4538
1776442252.523,0.9207,0.6671,0.4377
1776442252.624,0.9116,0.5730,0.4240
1776442252.737,0.8964,0.4856,0.4163
1776442252.823,0.8955,0.3938,0.4165
1776442252.923,0.8944,0.3039,0.4261
1776442253.055,0.8844,0.2155,0.4323
1776442253.123,0.8824,0.1193,0.4364
1776442253.224,0.8719,0.0232,0.4392
1776442253.365,0.8564,-0.0639,0.4589
1776442253.425,0.8379,-0.1363,0.4887
1776442253.527,0.8088,-0.1999,0.5291
1776442253.671,0.7868,-0.2668,0.5579
1776442253.724,0.7735,-0.3446,0.5751
1776442253.833,0.7656,-0.4422,0.5719
1776442253.924,0.7610,-0.5251,0.5608
1776442254.026,0.7451,-0.6122,0.5450
1776442254.133,0.7357,-0.6929,0.5263
1776442254.227,0.7347,-0.7608,0.5195
1776442254.324,0.7210,-0.8164,0.5241
1776442254.453,0.6997,-0.8601,0.5359
1776442254.524,0.6649,-0.8968,0.5340
1776442254.624,0.5999,-0.9116,0.5284
1776442254.766,0.5300,-0.9265,0.5205
1776442254.824,0.4930,-0.9417,0.5335
1776442254.927,0.4893,-0.9706,0.5547
1776442255.069,0.4880,-0.9990,0.5763
1776442255.124,0.4793,-1.0494,0.5714
1776442255.223,0.4659,-1.0553,0.6126
1776442255.373,0.4364,-1.0701,0.6285
1776442255.423,0.4106,-1.0902,0.6200
1776442255.525,0.3869,-1.1005,0.6012
1776442255.625,0.3646,-1.0959,0.5851
1776442255.725,0.3298,-1.0693,0.5797
1776442255.833,0.3186,-1.0206,0.5674
1776442255.926,0.3350,-0.9588,0.5378
1776442256.024,0.3547,-0.8850,0.5065
1776442256.146,0.3895,-0.7999,0.4789
1776442256.225,0.4422,-0.7083,0.4492
1776442256.324,0.3945,-0.6309,0.4626
1776442256.456,0.2949,-0.5580,0.5022
1776442256.526,0.2308,-0.4748,0.5130
1776442256.891,0.2196,-0.2967,0.4798
1776442256.924,0.2048,-0.1550,0.4553
1776442257.065,0.1746,-0.0269,0.4452
1776442257.124,0.0596,0.0481,0.4439
1776442257.227,-0.0177,0.1442,0.4522
1776442257.383,-0.0541,0.2395,0.4531
1776442257.424,-0.0213,0.3342,0.4272
1776442257.549,-0.0134,0.4283,0.4118
1776442257.623,-0.0251,0.5132,0.4028
1776442257.726,-0.0888,0.5745,0.4065
1776442257.885,-0.1927,0.6261,0.4224
1776442257.924,-0.2763,0.6762,0.4412
1776442258.049,-0.3340,0.7299,0.4616
1776442258.123,-0.3760,0.7815,0.4740
1776442258.223,-0.3906,0.8362,0.4770
1776442258.370,-0.4109,0.8885,0.4699
1776442258.425,-0.4258,0.9304,0.4479
1776442258.530,-0.4332,0.9572,0.4257
1776442258.623,-0.4405,0.9795,0.4257
1776442258.724,-0.4345,0.9991,0.4303
1776442258.844,-0.4206,1.0129,0.4421
1776442258.924,-0.4155,1.0188,0.4361
1776442259.024,-0.4113,1.0201,0.4236
1776442259.157,-0.4344,1.0099,0.4117
1776442259.224,-0.4786,0.9974,0.4046
1776442259.325,-0.5221,0.9793,0.4050
1776442259.465,-0.5517,0.9580,0.4009
1776442259.526,-0.5996,0.9217,0.3897
1776442259.629,-0.7028,0.8809,0.3787
1776442259.773,-0.8260,0.8421,0.3812
1776442259.824,-0.9831,0.7959,0.3828
1776442259.933,-1.1203,0.7409,0.3840
1776442260.024,-1.2362,0.6809,0.3805
1776442260.125,-1.2945,0.6181,0.3785
1776442260.251,-1.3401,0.5495,0.3819
1776442260.324,-1.3514,0.4686,0.3885
1776442260.424,-1.3554,0.3806,0.3971
1776442260.563,-1.3507,0.2974,0.4023
1776442260.623,-1.3278,0.2085,0.4099
1776442260.726,-1.2984,0.1253,0.4146
1776442260.876,-1.2521,0.0414,0.4218
1776442260.925,-1.2048,-0.0385,0.4350
1776442261.036,-1.1706,-0.1245,0.4384
1776442261.124,-1.1222,-0.2097,0.4227
1776442261.224,-1.1056,-0.3032,0.4086
1776442261.345,-1.1261,-0.4058,0.4045
1776442261.423,-1.1425,-0.5095,0.4021
1776442261.524,-1.1563,-0.6180,0.3918
1776442261.655,-1.1685,-0.6804,0.4344
1776442261.727,-1.1843,-0.7415,0.4736
1776442261.826,-1.1933,-0.8108,0.4882
1776442261.973,-1.1626,-0.8582,0.4878
1776442262.027,-1.0992,-0.8882,0.4785
1776442262.141,-1.0207,-0.9032,0.4682
1776442262.224,-0.9111,-0.9226,0.4440
1776442262.325,-0.8009,-0.9494,0.4160
1776442262.451,-0.7174,-0.9718,0.4390
1776442262.524,-0.6192,-1.0051,0.4485
1776442262.624,-0.6012,-1.0139,0.4187
1776442262.765,-0.5875,-1.0081,0.3963
1776442262.823,-0.5984,-0.9980,0.3828
1776442262.924,-0.5931,-0.9945,0.3793
1776442263.077,-0.5734,-0.9906,0.3773
1776442263.123,-0.5405,-0.9734,0.3808
1776442263.235,-0.4641,-0.9572,0.3920
1776442263.324,-0.3971,-0.9329,0.3988
1776442263.424,-0.3269,-0.8950,0.4075
1776442263.546,-0.2462,-0.8446,0.3950
1776442263.624,-0.1504,-0.7825,0.3787
1776442263.723,-0.0901,-0.7181,0.3911
1776442263.858,-0.0558,-0.6524,0.4164
1776442263.927,-0.0284,-0.5820,0.4318
1776442264.037,0.0038,-0.5088,0.4454
1776442264.124,0.0434,-0.4298,0.4669
1776442264.223,0.0964,-0.3475,0.4886
1776442264.345,0.1574,-0.2680,0.5103
1776442264.423,0.2144,-0.1858,0.5320
