Time,Port,ListenerID,NetworkID,Line,Error
1780085797.2844682,COM7,1,1,"POS,0,4CAD,4.47,3.14,1.59,92,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085797.2917335,COM7,1,1,"POS,0,4CAD,4.47,3.14,1.61,93,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085797.3768933,COM7,1,1,"POS,0,4CAD,4.47,3.15,1.61,92,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085797.4776456,COM7,1,1,"POS,0,4CAD,4.47,3.15,1.60,92,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085797.577189,COM7,1,1,"POS,0,4CAD,4.46,3.14,1.62,93,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085797.6771498,COM7,1,1,"POS,0,4CAD,4.46,3.14,1.63,93,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085797.7772427,COM7,1,1,"POS,0,4CAD,4.45,3.14,1.71,95,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085797.8776093,COM7,1,1,"POS,0,4CAD,4.46,3.14,1.70,93,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085797.9766343,COM7,1,1,"POS,0,4CAD,4.46,3.14,1.66,91,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085798.077696,COM7,1,1,"POS,0,4CAD,4.46,3.14,1.68,94,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085798.177954,COM7,1,1,"POS,0,4CAD,4.46,3.14,1.66,91,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085798.2780387,COM7,1,1,"POS,0,4CAD,4.46,3.14,1.68,94,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085798.3776946,COM7,1,1,"POS,0,4CAD,4.47,3.14,1.66,92,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085798.4774075,COM7,1,1,"POS,0,4CAD,4.45,3.15,1.74,96,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
1780085798.5765307,COM7,1,1,"POS,0,4CAD,4.46,3.14,1.67,90,x08",Invalid format specifier '.1f if quality is not None else 0' for object of type 'float'
